# q,                u,                  q_er,               u_er
1.7072332713537788,1.2845298486379322,0.7239317453241775,0.6927504478330454
0.42802930697315555,1.5643873635265777,0.717028710644218,0.6987096557032005
1.3817273739374158,0.06578973781706789,0.7051993844921517,0.6957299641188994
0.13882022298468402,1.3135229985340358,0.7180147435033001,0.6897711091172818
-0.4814470821620885,0.47698643596199725,0.7012575645853025,0.6907642021506941
-0.03497961986439371,2.5123267620288696,0.7160427165247264,0.6867919502825328
2.2460203801356062,1.9033267620288694,0.717028710644218,0.6927504478330454
1.6890203801356065,1.6353267620288696,0.7199869248035757,0.6887780360703185
1.1608777286641132,0.09768868650663559,0.6943609809660315,0.6937436003113002
1.068233271353779,1.1035298486379321,0.7101275743752736,0.6987096557032005
1.8348777286641131,-0.08631131349336439,0.7101275743752736,0.6937436003113002
1.2160203801356062,2.1523267620288697,0.7160427165247264,0.685798937716358
