star_age,star_mass,he_core_mass,log_Teff,log_L,log_R,pp,cno,tri_alfa,c12_c12,o16_o16,log_center_T,log_center_Rho
5909000.756967639,30.0,10.898226219943346,3.5631369307843,5.438925678022617,3.1164478138953338,-0.26519833013237865,4.603967971684002,2.7475868252974944,-11.3167776931053,-34.12095317329062,8.465613034520295,3.238175651825913
5909091.927764913,30.0,10.89822621994302,3.563144315549254,5.437870518334349,3.1159054645212922,-0.26834030205349974,4.600974856213774,2.731459504663093,-11.29816223715226,-34.08945126328861,8.466052147812123,3.2395098879463324
5909180.036309587,30.0,10.898226219942995,3.5631786228292346,5.436823973134994,3.115313577361655,-0.2714611594701098,4.597987260087257,2.715573031329231,-11.279899479579951,-34.05857882272889,8.466482726041615,3.240818422638776
5909266.044031447,30.0,10.898226219943632,3.5631963776609354,5.435670517866897,3.114701340064204,-0.27460073795780243,4.594965989993142,2.6997696083981486,-11.261807401723608,-34.02802622417736,8.466909075284395,3.2421143499172875
5909349.957345002,30.0,10.89822621994363,3.5632132587442613,5.434543513839101,3.114104075883653,-0.2777650182094338,4.591902498477831,2.6840586084279745,-11.243898803728865,-33.99781353156882,8.467330906505618,3.2433968019518913
5909431.542776946,30.0,10.898226219943643,3.5632232059811764,5.43345567889649,3.1135402639385186,-0.2809125876832556,4.588842891343025,2.6684992583823655,-11.226230787679844,-33.96803624571652,8.46774687825755,3.2446616303082774
5909510.952214967,30.0,10.89822621994362,3.563263397864623,5.432069816149659,3.1127669487982086,-0.2840817959171711,4.585749145813707,2.6530732161840267,-11.208792838585032,-33.938674251024636,8.468157259159373,3.2459097187390396
5909587.815075994,30.0,10.898226219943647,3.563287779681513,5.431151374308498,3.1122589642438494,-0.2872119360952628,4.582677170074683,2.6378711392322787,-11.191671277514596,-33.909872190918556,8.468560018514355,3.2471347846084777
5909662.672117803,30.0,10.898226219943638,3.5632969243315107,5.430029526068988,3.1116797508240985,-0.2903446447850244,4.579588396615045,2.6227899201889127,-11.17476553064249,-33.881458092716294,8.468957547191605,3.2483441553147463
5909736.149948624,30.0,10.898226219943655,3.5633067798516884,5.428895714322201,3.1110931339103503,-0.29348987811478056,4.576477939942545,2.607716718975333,-11.157938355001619,-33.85320098654926,8.469353071919791,3.249547608252412
5909807.945977991,30.0,10.89822621994364,3.5633584295875673,5.427680525687571,3.1103822401212775,-0.2966599925768174,4.573326209693104,2.5927271693732057,-11.141275758520734,-33.82524430544574,8.469744579462882,3.250739081966713
5909877.95037847,30.0,10.901664058549924,3.5633952311842156,5.426312841211203,3.1096247946897964,-0.29984121098019334,4.5701484970989155,2.5778363982704278,-11.124809264911638,-33.797638855840106,8.470131348324909,3.2519163581027626
5909945.68393195,30.0,10.901664058549915,3.563449183504395,5.424773743534803,3.108747341211237,-0.30302976714054797,4.5669433703506135,2.563178600093429,-11.108671203612277,-33.77060598894003,8.470510269816232,3.253070006186574
5910010.564748452,30.0,10.901664058549935,3.563426626621004,5.4239254227567555,3.1083682945889946,-0.30612331395947456,4.563825498757094,2.5489059231179056,-11.093004422655184,-33.744384394640605,8.47087798723608,3.254189648017257
5910073.321563201,30.0,10.901664058549922,3.5634516224485453,5.422610998772136,3.1076610909416034,-0.30920442708600154,4.56070646345219,2.534842379368437,-11.077659560697224,-33.71871932246932,8.471238052326438,3.255286205000894
5910134.289928715,30.0,10.900035608683812,3.563549513413968,5.421100081876814,3.1067098505630986,-0.312295104247922,4.557557664044088,2.520959491030217,-11.062569749603957,-33.693499697726736,8.471592019328504,3.256364411662501
5910192.622041569,30.0,10.900035608683798,3.5635289206104686,5.420279099784757,3.1063405451240684,-0.31528686052952454,4.554506128038327,2.5074722938048453,-11.047949243927023,-33.66908300650427,8.471934861237806,3.2574088296233352
5910249.166700515,30.0,10.900035608683188,3.5635578584622993,5.418992458422444,3.1056393487392504,-0.31826534420369507,4.551457131037011,2.494179965661246,-11.033609514646217,-33.64515089229301,8.472271031660496,3.2584331064874816
